cat,genus,species,sex,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54
Pttm001k,Pan,troglo,m,1.491507719,-1.239476606,1.00135804,-1.455465984,0.435695873,-1.665416328,-0.191185904,-1.77868193,-0.765004535,-1.92100402,-1.187053625,-1.691225233,-1.506356537,-1.353658268,-1.650894035,-0.784333158,-1.764449383,-0.18944011,-1.864833263,0.14587746,-1.753985605,0.382353136,-1.566869907,0.654610924,-1.340474505,0.889747722,-1.079133128,0.988929302,-0.794056047,1.130320675,-0.490170098,1.221208707,-0.157455254,1.268954026,0.112448714,1.306665918,0.525778948,1.402118736,0.900194733,1.286617799,1.181456359,1.13268561,1.473153313,0.911051358,1.734896982,0.594754396,1.762967451,0.221491126,1.812461114,-0.14376065,1.879238069,-0.462354972,1.817413686,-0.798135606
Pttm006k,Pan,troglo,m,1.308027763,-1.240012796,0.861807845,-1.517879498,0.293946651,-1.631915815,-0.274617859,-1.65122464,-0.882044981,-1.543630319,-1.401806447,-1.468362847,-1.854433872,-1.139681184,-1.985141493,-0.680201644,-1.883335233,-0.052545337,-1.799131202,0.28971031,-1.723980411,0.521463715,-1.46044406,0.755892312,-1.229205982,0.904026471,-0.892516195,0.938411253,-0.536784357,1.038360906,-0.169361511,1.098027114,0.195493261,1.157636393,0.474291759,1.160364986,0.789431898,1.161174834,1.097349214,1.069251211,1.327807093,0.899386416,1.524052501,0.6576673,1.700730857,0.425044214,1.64504904,0.163844573,1.670513032,-0.146569129,1.678568419,-0.469070074,1.616538519,-0.730892271
Pttm019k,Pan,troglo,m,0.771589652,-1.70698337,0.244969277,-1.880366887,-0.334930423,-1.889439763,-0.926235068,-1.796423672,-1.400049262,-1.581322723,-1.776707385,-1.222324332,-1.966422234,-0.786759545,-1.810736882,-0.161774981,-1.628225901,0.406953446,-1.449518083,0.675209858,-1.337137181,0.987176775,-1.190357985,1.256015551,-0.867860536,1.43387018,-0.533946884,1.481662018,-0.269208971,1.471786931,0.108558499,1.452404947,0.480249059,1.422380543,0.854063018,1.32725734,1.146260979,1.138566879,1.3911406,0.918204867,1.557882928,0.589547568,1.637455086,0.287269687,1.632957972,-0.115717078,1.560799046,-0.449906958,1.464728041,-0.766074484,1.368910695,-1.115886489,1.244707525,-1.420895443
Pttm078k,Pan,troglo,m,0.332730664,-1.773984694,-0.241053452,-1.730729556,-0.818353164,-1.615622571,-1.319817177,-1.378051534,-1.704979247,-1.109205283,-2.054987902,-0.68929175,-2.198981646,-0.249211099,-2.080144071,0.221895823,-1.750860373,0.624384409,-1.372513997,0.962481961,-1.227425809,1.180142301,-0.884172453,1.36705892,-0.613482068,1.452317721,-0.283503332,1.481964291,0.055370469,1.438222841,0.445544773,1.368338327,0.756620798,1.280916048,1.117731023,1.204805676,1.418312403,1.003055749,1.702271538,0.634803755,1.897661253,0.347630164,1.905494577,-0.101886516,1.817173752,-0.482692152,1.698155347,-0.967071296,1.455931337,-1.265156221,1.198927211,-1.510241292,0.795030072,-1.706893131
Pttm123k,Pan,troglo,m,1.804337265,-0.909474988,1.447047157,-1.293850168,0.913366305,-1.60671616,0.449093452,-1.684335181,-0.168256566,-1.769322626,-0.649675618,-1.785067254,-1.161593047,-1.619485835,-1.3702032,-1.127465763,-1.434323191,-0.623329699,-1.541895791,-0.303740413,-1.52417485,0.014377744,-1.534028825,0.206329015,-1.450825013,0.498970808,-1.286073747,0.737934882,-1.106596732,0.853194928,-0.934912023,1.080382331,-0.717712603,1.194227164,-0.461020386,1.30065244,-0.100912804,1.415680214,0.355612262,1.417085313,0.683821699,1.347139293,1.059895178,1.199120914,1.370020822,0.942451485,1.632906452,0.69542691,1.798409947,0.309600077,1.941670401,-0.055778626,1.999021743,-0.448101874
Pttm146k,Pan,troglo,m,0.856702117,-1.630677499,0.356163213,-1.879901288,-0.277072474,-1.870605936,-0.699223477,-1.772759434,-1.292977278,-1.636159625,-1.681085508,-1.270342299,-2.021367046,-0.885207832,-2.091567557,-0.39464037,-1.895652748,0.138500643,-1.754093547,0.613846,-1.578057044,0.916750045,-1.291825473,1.209985156,-0.99939922,1.323421464,-0.623812296,1.488455873,-0.213054275,1.49472001,0.09334884,1.523255112,0.508366092,1.477052386,0.749416342,1.341393552,1.090335045,1.181418915,1.357269773,0.898625266,1.580121862,0.606929331,1.705074882,0.3735325,1.790215959,-0.037050476,1.711834235,-0.385695763,1.641933083,-0.700047957,1.481351668,-0.999237552,1.367894455,-1.380541643
Ptvf010k,Pan,troglo,f,0.781042809,-1.569558005,0.265461827,-1.730096986,-0.165540206,-1.807435623,-0.709279669,-1.742453659,-1.19647308,-1.527020725,-1.59451631,-1.271344407,-1.808499817,-0.962788217,-1.845779694,-0.423690948,-1.705927212,0.024385339,-1.554656967,0.414266761,-1.482021228,0.750344175,-1.321886534,1.046120546,-1.055931275,1.307902613,-0.768021106,1.536901914,-0.431739321,1.508491976,-0.10747879,1.517174129,0.277191641,1.474907921,0.527100346,1.421603187,1.033344666,1.274753424,1.293055204,1.05531363,1.610815479,0.787354208,1.820211933,0.365077533,1.783964828,0.057915357,1.737497309,-0.315298823,1.645814619,-0.724479407,1.48043609,-1.046484535,1.299180318,-1.398986918
Ptvf018k,Pan,troglo,f,0.845871721,-1.513377545,0.430558073,-1.748749129,-0.127975963,-1.860970559,-0.659719037,-1.739403961,-1.133324457,-1.627647937,-1.456324304,-1.213014897,-1.775855123,-0.851599091,-1.876194158,-0.382440933,-1.803853428,0.130547249,-1.643504172,0.432097894,-1.515575975,0.790433185,-1.310542202,1.083035212,-1.064231587,1.347730459,-0.727449636,1.498301815,-0.330708526,1.524889173,0.02983945,1.580592605,0.393179518,1.552020885,0.808075512,1.456201271,1.023241047,1.271136928,1.340047645,0.985807796,1.509159458,0.729307035,1.62834534,0.326272742,1.643160186,-0.024022977,1.699281439,-0.339663783,1.570392772,-0.76955662,1.39945263,-1.081064227,1.146453686,-1.337578732
Ptvm020k,Pan,troglo,m,1.647783298,-1.184308583,1.289350547,-1.518044412,0.770206101,-1.830069947,0.216181756,-1.901075954,-0.22990658,-1.984152857,-0.706747301,-1.711079847,-1.175682476,-1.511101604,-1.382311839,-1.1110264,-1.524088841,-0.591843416,-1.648347689,-0.339317392,-1.674773909,0.005047333,-1.662769253,0.264406619,-1.511069924,0.530587841,-1.350010882,0.796624198,-1.144658445,0.964497693,-0.908543277,1.189107831,-0.624076954,1.290444565,-0.356457364,1.445577268,0.069120678,1.627249323,0.532214839,1.621813647,0.96097236,1.534662613,1.353026626,1.348058605,1.670587005,1.042875228,1.883466804,0.655951886,1.986496939,0.243424965,1.931809137,-0.227344263,1.918324643,-0.632233725
Ptvm021k,Pan,troglo,m,0.509387895,-1.717207887,0.038549609,-1.863184008,-0.509466124,-1.80027021,-1.032845714,-1.693743673,-1.419182174,-1.433003493,-1.774914343,-0.938364057,-1.88592435,-0.502404059,-1.836824638,-0.014051007,-1.559302413,0.412525118,-1.420338287,0.703873462,-1.312747261,0.941593298,-1.047432478,1.246040827,-0.829567962,1.413086563,-0.493900232,1.442741682,-0.23792073,1.482876161,0.097185962,1.402615922,0.442724931,1.361157872,0.789311215,1.263479252,1.152758128,1.144439181,1.45326199,0.927281173,1.744956999,0.651276415,1.822884452,0.240374833,1.843396571,-0.221070986,1.676637318,-0.574899569,1.545546049,-0.946883081,1.23500404,-1.302501303,1.06908349,-1.619206924
Ptvm025k,Pan,troglo,m,1.266840092,-1.561066249,0.758063172,-1.744050103,0.196545851,-1.903696907,-0.363685347,-1.79297127,-0.922496219,-1.583245663,-1.36910991,-1.483567849,-1.749462355,-0.988032717,-1.898412568,-0.508532766,-1.814816546,0.038745645,-1.801642221,0.293481373,-1.672059079,0.644748196,-1.56983886,0.893770433,-1.254969262,1.11022291,-1.027984092,1.160928426,-0.647097621,1.228803509,-0.311019851,1.327512235,0.030399332,1.363358604,0.290046147,1.349794112,0.765445432,1.291587748,1.1060405,1.203712108,1.450250202,0.969436174,1.719606772,0.677269915,1.863676078,0.345903045,1.92886507,-0.006566964,1.786617519,-0.435809004,1.764477583,-0.854178114,1.67140419,-1.17625298
Vimm001k,Victor,macinnes,m,0.948439263,0.705704725,1.169745109,0.428044188,1.290794963,0.153698749,1.225088957,-0.218868673,1.086422209,-0.548081143,0.895097483,-0.828417031,0.624665518,-0.984351653,0.30954059,-1.014708255,-0.050096203,-0.985150508,-0.172931558,-0.870242508,-0.32281766,-0.842553535,-0.456976446,-0.727188172,-0.61966199,-0.599900121,-0.752252619,-0.470091645,-0.846025631,-0.332455667,-0.940943583,-0.172841844,-0.911230175,-0.038686052,-0.93026749,0.195698195,-0.803071684,0.421628958,-0.701407816,0.576781958,-0.52434491,0.713431278,-0.328247314,0.767451648,-0.176284734,0.854485719,-0.042644866,0.95468734,0.185320796,0.961551046,0.345029096,0.92598837,0.568509244,0.859852607
Aarf001p,Austral,afric,m,0.94289747,-1.495105694,0.572127989,-1.534281557,0.044930252,-1.619593513,-0.453493047,-1.510939121,-0.887633963,-1.441378875,-1.34957426,-1.140316482,-1.633648221,-0.848199451,-1.70951309,-0.399842575,-1.597912563,-0.007782516,-1.433545638,0.287794849,-1.283608477,0.506124645,-1.154182552,0.686490603,-0.934282968,0.90634352,-0.691476138,1.038302707,-0.487482984,1.217203287,-0.194959342,1.317793371,0.011150427,1.293170569,0.321074437,1.270646431,0.632680165,1.13315056,0.95339107,0.99763919,1.256693316,0.845277718,1.483417359,0.494567107,1.699816237,0.263212498,1.716223499,-0.10735146,1.605265199,-0.452794439,1.470598995,-0.79144738,1.378133175,-1.177421562
Aarf002p,Austral,afric,m,0.849646527,-1.640260667,0.352036079,-1.857477168,-0.290059941,-1.856081761,-0.724466524,-1.777782709,-1.290535982,-1.62736629,-1.670417109,-1.25844209,-2.026597922,-0.892143109,-2.078697919,-0.397509935,-1.914788043,0.121501335,-1.767885331,0.621303411,-1.575920658,0.927107325,-1.298234263,1.212363251,-0.990015364,1.318781266,-0.616960667,1.478526984,-0.218500083,1.488993942,0.075411245,1.530559699,0.501325057,1.477239798,0.756627542,1.34809152,1.100315822,1.179941633,1.350920298,0.897429493,1.554811845,0.585222644,1.685234388,0.358573798,1.796212572,-0.050632662,1.706161797,-0.366207339,1.636589123,-0.688985223,1.467347403,-1.002319115,1.353644124,-1.385627139
Aarf003p,Austral,afric,m,1.504112341,-1.265386412,1.007874395,-1.45189995,0.426783624,-1.687107196,-0.190103961,-1.786624321,-0.761514392,-1.920676238,-1.163026942,-1.694815567,-1.521708999,-1.350969133,-1.647594085,-0.763945344,-1.751922714,-0.184087044,-1.84288372,0.128046014,-1.763581878,0.368454497,-1.572717054,0.633960632,-1.330947241,0.886414382,-1.101195222,0.973695616,-0.789353339,1.142892574,-0.460219135,1.264916644,-0.151239113,1.254110954,0.08046802,1.31068159,0.513584832,1.395888377,0.891013281,1.284505936,1.197446062,1.135041339,1.47077379,0.895516552,1.709776738,0.587459777,1.762160713,0.248010075,1.814415232,-0.129019557,1.871748635,-0.480129128,1.802936935,-0.809013997
Aarf004p,Austral,afric,f,0.739765472,-1.457201602,0.267343478,-1.647117732,-0.31150438,-1.630404262,-0.828628556,-1.618894434,-1.320589414,-1.400229724,-1.692750168,-1.089308353,-1.823597898,-0.577041512,-1.69041333,-0.079303828,-1.53043169,0.413194513,-1.418480239,0.726348916,-1.331919051,0.951331852,-1.071196185,1.217494615,-0.790346146,1.206606223,-0.540464426,1.262742445,-0.128226373,1.167252604,0.109248466,1.134279383,0.41234758,1.052683414,0.738224261,1.041032484,0.967317148,0.925817986,1.215807201,0.757790272,1.393878345,0.516583876,1.50988918,0.218626047,1.596166476,-0.088990182,1.545996527,-0.397125018,1.468088325,-0.678066301,1.287092806,-0.904469776,1.20171153,-1.171557313
