"cat","spp","sex","cranht","cranwd","cranlg","faceht","facewd","aptrht","aptrwd","rorbht","rorbwd","paltlg","paltwd"
"Gggm075k","Gg","m",11.4305046284953,12.3208446614758,19.5081399956296,11.8280620357337,15.0982259250573,3.55806152501162,4.02830467888755,4.49868303225155,4.31692124828855,9.8379395707154,5.67792371055545
"Gggm076k","Gg","m",12.2485131128125,13.5080975444588,18.2485584959048,13.2570209526274,16.7960373136924,3.89077408370633,3.17204737456659,4.68508361059922,4.25235328884021,10.7886741206809,6.83779759683616
"Gggm077k","Gg","m",11.0415369863151,11.8651733894429,19.347048497802,12.811236978099,14.2313592089428,3.29845715182613,3.36198006750004,4.61158933638854,4.34882648680488,9.75701089714729,5.81282792553884
"Gggm078k","Gg","m",12.0926391255202,12.3150659592332,20.3887629286266,14.6990682351578,16.0883534931277,4.24928001960311,3.64262198001316,5.11031321468148,4.53092589016504,9.59913052790807,6.18404086939558
"Gggm079k","Gg","m",9.98361017276881,12.8616984078002,17.6807189894971,12.7402790414749,15.1821262086476,3.91878913654121,3.38568108819879,4.2856351100597,4.45082614079065,10.2597616142803,5.40551887706398
"Gggm080k","Gg","m",10.1669238157387,12.3784328910418,19.4631874712748,12.3380667429519,15.9094059057644,3.93123368630942,3.50193100357405,4.43044617012139,4.0325569889105,8.8381978956053,6.07466583696162
"Gggm093k","Gg","m",9.80195930519472,11.6758085873629,15.9179154196031,9.99217504704292,13.2915598049757,3.51805110082402,2.64595134778899,3.96638291530448,4.08298419961242,9.52909242454579,4.97001796092132
"Gggm108k","Gg","m",10.8671561462541,13.0271012264889,18.322234776345,12.2326643992754,14.0175102427556,4.32559679818774,2.8200224303177,3.58750563488147,3.78848577639298,10.2857517807989,6.35237457035401
"Gggm118k","Gg","m",8.6757552644916,10.9133590650855,15.3427840199852,11.8899282823089,12.2718687805792,3.21145243446573,2.91743770918525,4.37770304945325,4.02780895061334,8.97328808982377,5.7304339044435
"Gggm119k","Gg","m",10.537441090148,12.0467659465159,15.8422898204948,10.0533706735974,12.5085736920983,3.1317986984367,2.87809244022433,4.17608008540224,4.18441005381897,9.41531102064898,5.71299171901581
